,UID,tYear,AADT,ESAL,pTrucks,SingleTrucks,DoubleTrucks,TrainTrucks,Unnamed: 0,sYear,IntID,Rutting,IRI,PSC,PPC,PRC,Alli,Long,SR,Begin ARM,End ARM,Is Bridge,Lane Surface Type,Lane Miles,Region_x,Federal Functional Class,Construction End Date,Substantial Completion Date,Contract Type Description,Surface Type Code,Surface Type Description,Surface Thickness,Treat Base Type Code,Treat Base Type Description,Treat Base Thickness,UTreat Base Thickness,cYear,Traffic Year,ESALs,Construction Year,Major Rehab Year,Segment Lane Miles,ESALs Since Major Rehab,Total Thickness,Total Surface Thickness,Listed Surface Type,Pavement Type,Construction Pavement Type,Major Rehab Type,Prior Major Rehab Year,Prior Major Rehab Type,sfThick,Tthick,TSfThick,STcode,cumPPT,meanMinTemp,meanMaxTemp,cumESALs,cumFTC
12065,16286.0,2006,52672,521348,8.55,3008,1285,211,298079.0,2006.0,21309.0,0.096,102.802,94.0,81.0,93.0,,22.0,16.0,26.04,26.11,0.0,ACP,0.14,Olympic,Urban Other Freeway/Expressway,10/16/1992 0:00:00,10/5/1992 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1992.0,2013.0,371682.0,1957.0,2012.0,0.56,912167.0,1.41,0.58,ACP,ACP,ACP,ACP,1992.0,ACP,0.15,1.41,0.58,BA,21168.619873,0.674666655064,24.9279998779,4626783.37638,1.0
12068,16296.0,2006,66977,1325899,8.55,3824,1634,268,298090.0,2006.0,21483.0,0.077,105.592,83.0,80.0,95.0,,166.0,16.0,27.03,27.13,0.0,ACP,0.23,Olympic,Urban Other Freeway/Expressway,12/13/2012 0:00:00,12/11/2012 0:00:00,RESURFACE EXISTING RDWY,B2,ACP CLASS 1/2IN PG64-22,0.15,0.0,,0.0,0.0,2012.0,2013.0,423090.0,1989.0,2012.0,0.2,2329105.0,0.17,0.17,ACP,ACP,ACP,ACP,2001.0,ACP,0.15,0.17,0.17,Other,8265.54016113,1.03500001381,25.5066665014,2320399.75902,0.0
12075,16043.0,2007,107986,737045,6.13,4665,1663,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12083,16158.0,2007,58388,385586,6.19,2662,823,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12089,16286.0,2007,53404,546752,8.93,3226,1324,219,314079.0,2007.0,21309.0,0.189,96.3,92.0,82.0,84.0,,34.0,16.0,26.04,26.11,0.0,ACP,0.14,Olympic,Urban Other Freeway/Expressway,10/16/1992 0:00:00,10/5/1992 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1992.0,2013.0,371682.0,1957.0,2012.0,0.56,912167.0,1.41,0.58,ACP,ACP,ACP,ACP,1992.0,ACP,0.15,1.41,0.58,BA,22484.7498779,0.610624989495,24.9099998474,4983236.70142,1.0
12092,16296.0,2007,67178,1376214,8.93,4058,1666,275,314088.0,2007.0,21483.0,0.076,99.73,81.0,82.0,95.0,,194.0,16.0,27.03,27.13,0.0,ACP,0.23,Olympic,Urban Other Freeway/Expressway,12/13/2012 0:00:00,12/11/2012 0:00:00,RESURFACE EXISTING RDWY,B2,ACP CLASS 1/2IN PG64-22,0.15,0.0,,0.0,0.0,2012.0,2013.0,423090.0,1989.0,2012.0,0.2,2329105.0,0.17,0.17,ACP,ACP,ACP,ACP,2001.0,ACP,0.15,0.17,0.17,Other,9600.17016601,0.927142869148,25.4685712542,2726154.77887,0.0
12099,16043.0,2008,103980,709706,6.13,4492,1601,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12112,16158.0,2008,56812,375038,6.19,2591,801,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12118,16286.0,2008,51962,509412,8.48,2941,1268,197,330667.0,2008.0,21309.0,0.274,123.071,94.0,76.0,75.0,,18.0,16.0,26.04,26.11,0.0,ACP,0.14,Olympic,Urban Other Freeway/Expressway,10/16/1992 0:00:00,10/5/1992 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1992.0,2013.0,371682.0,1957.0,2012.0,0.56,912167.0,1.41,0.58,ACP,ACP,ACP,ACP,1992.0,ACP,0.15,1.41,0.58,BA,23459.7799072,0.562941166408,24.831176309,5328301.64718,1.0
12121,16296.0,2008,64686,1267608,8.48,3661,1578,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12126,16043.0,2009,102236,697770,6.13,4417,1574,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12139,16158.0,2009,62514,444880,6.76,3138,963,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12149,16286.0,2009,51209,483771,8.33,2873,1249,143,348196.0,2009.0,21309.0,0.274,124.0,89.0,76.0,75.0,,58.0,16.0,26.04,26.11,0.0,ACP,0.14,Olympic,Urban Other Freeway/Expressway,10/16/1992 0:00:00,10/5/1992 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1992.0,2013.0,371682.0,1957.0,2012.0,0.56,912167.0,1.41,0.58,ACP,ACP,ACP,ACP,1992.0,ACP,0.15,1.41,0.58,BA,24787.1899414,0.435555544993,24.9194442961,5679290.13963,1.0
12152,16296.0,2009,65052,1228262,8.33,3649,1587,182,348216.0,2009.0,21483.0,0.097,105.35,63.0,80.0,93.0,11.0,595.4,16.0,27.03,27.13,0.0,ACP,0.23,Olympic,Urban Other Freeway/Expressway,12/13/2012 0:00:00,12/11/2012 0:00:00,RESURFACE EXISTING RDWY,B2,ACP CLASS 1/2IN PG64-22,0.15,0.0,,0.0,0.0,2012.0,2013.0,423090.0,1989.0,2012.0,0.2,2329105.0,0.17,0.17,ACP,ACP,ACP,ACP,2001.0,ACP,0.15,0.17,0.17,Other,11875.6301269,0.703333339757,25.4588887957,3518480.60894,0.0
12159,16043.0,2010,103085,703738,6.13,4453,1588,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12172,16158.0,2010,63002,462930,6.95,3194,1084,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12182,16286.0,2010,53272,491892,8.24,2973,1300,117,366446.0,2010.0,21309.0,0.325,125.643,76.0,75.0,70.0,,188.0,16.0,26.04,26.11,0.0,ACP,0.14,Olympic,Urban Other Freeway/Expressway,10/16/1992 0:00:00,10/5/1992 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1992.0,2013.0,371682.0,1957.0,2012.0,0.56,912167.0,1.41,0.58,ACP,ACP,ACP,ACP,1992.0,ACP,0.15,1.41,0.58,BA,26564.2199707,0.465263147888,24.8531577462,6032895.06891,1.0
12185,16296.0,2010,67175,1239978,8.24,3748,1639,148,366466.0,2010.0,21483.0,0.102,107.1,69.0,80.0,92.0,12.0,425.3,16.0,27.03,27.13,0.0,ACP,0.23,Olympic,Urban Other Freeway/Expressway,12/13/2012 0:00:00,12/11/2012 0:00:00,RESURFACE EXISTING RDWY,B2,ACP CLASS 1/2IN PG64-22,0.15,0.0,,0.0,0.0,2012.0,2013.0,423090.0,1989.0,2012.0,0.2,2329105.0,0.17,0.17,ACP,ACP,ACP,ACP,2001.0,ACP,0.15,0.17,0.17,Other,13596.2301025,0.872000016271,25.3209999085,3920993.26634,0.0
12188,16026.0,2011,25361,308115,5.08,781,474,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
